00AR               20211111                                                                                   
0601ARA1N       20220101000250100000005000 0100000030000132   
0601ARA1N       20220101000255100000005000 0100000030000151   
0601ARA1N       20220101000260100000005000 0100000030000166   
0601ARA1N       20220101000265100000005000 0100000030000181   
0601ARA1N       20220101000270100000005000 0100000030000195   
0601ARA1N       20220101000275100000005000 0100000030000212   
0601ARA1N       20220101000280100000005000 0100000030000230   
0601ARA1N       20220101000285100000005000 0100000030000246   
0601ARA1N       20220101000290100000005000 0100000030000262   
0601ARA1N       20220101000295100000005000 0100000030000277   
0601ARA1N       20220101000300100000005000 0100000030000292   
0601ARA1N       20220101000305100000005000 0100000030000307   
0601ARA1N       20220101000310100000005000 0100000030000321   
0601ARA1N       20220101000315100000005000 0100000030000334   
0601ARA1N       20220101000320100000005000 0100000030000347   
0601ARA1N       20220101000325100000005000 0100000030000360   
0601ARA1N       20220101000330100000005000 0100000030000372   
0601ARA1N       20220101000335100000005000 0100000030000384   
0601ARA1N       20220101000340100000005000 0100000030000396   
0601ARA1N       20220101000345100000005000 0100000030000407   
0601ARA1N       20220101000350100000005000 0100000030000418   
0601ARA1N       20220101000355100000005000 0100000030000429   
0601ARA1N       20220101000360100000005000 0100000030000439   
0601ARA1N       20220101000365100000005000 0100000030000449   
