00AG               20211201                                                                                   
0601AGA1N       20220101000885100000005000 0100000020001080   
0601AGA1N       20220101000890100000005000 0100000020001090   
0601AGA1N       20220101000895100000005000 0100000020001090   
0601AGA1N       20220101000900100000005000 0100000020001100   
0601AGA1N       20220101000905100000005000 0100000020001110   
0601AGA1N       20220101000910100000005000 0100000020001110   
0601AGA1N       20220101000915100000005000 0100000020001120   
0601AGA1N       20220101000920100000005000 0100000020001130   
0601AGA1N       20220101000925100000005000 0100000020001130   
0601AGA1N       20220101000930100000005000 0100000020001140   
0601AGA1N       20220101000935100000005000 0100000020001150   
0601AGA1N       20220101000940100000005000 0100000020001150   
0601AGA1N       20220101000945100000005000 0100000020001160   
0601AGA1N       20220101000950100000005000 0100000020001170   
0601AGA1N       20220101000955100000005000 0100000020001170   
0601AGA1N       20220101000960100000005000 0100000020001180   
0601AGA1N       20220101000965100000005000 0100000020001190   
0601AGA1N       20220101000970100000005000 0100000020001190   
0601AGA1N       20220101000975100000005000 0100000020001200   
0601AGA1N       20220101000980100000005000 0100000020001200   
0601AGA1N       20220101000985100000005000 0100000020001210   
0601AGA1N       20220101000990100000005000 0100000020001210   
0601AGA1N       20220101000995100000005000 0100000020001220   
0601AGA1N       20220101001000100000050000 0100000020001250   
0601AGA1N       20220101001050100000050000 0100000020001300   
0601AGA1N       20220101001100100000050000 0100000020001350   
0601AGA1N       20220101001150100000050000 0100000020001400   
0601AGA1N       20220101001200100000050000 0100000020001450   
0601AGA1N       20220101001250100000050000 0100000020001500   
0601AGA1N       20220101001300100000050000 0100000020001540   
0601AGA1N       20220101001350100000050000 0100000020001590   
0601AGA1N       20220101001400100000050000 0100000020001630   
0601AGA1N       20220101001450100000050000 0100000020001670   
0601AGA1N       20220101001500100000050000 0100000020001710   
0601AGA1N       20220101001550100000050000 0100000020001750   
0601AGA1N       20220101001600100000050000 0100000020001780   
0601AGA1N       20220101001650100000050000 0100000020001820   
0601AGA1N       20220101001700100000050000 0100000020001850   
0601AGA1N       20220101001750100000050000 0100000020001880   
0601AGA1N       20220101001800100000050000 0100000020001910   
0601AGA1N       20220101001850100000050000 0100000020001940   
0601AGA1N       20220101001900100000050000 0100000020001970   
0601AGA1N       20220101001950100000050000 0100000020002000   
0601AGA1N       20220101002000100000050000 0100000020002030   
0601AGA1N       20220101002050100000050000 0100000020002060   
0601AGA1N       20220101002100100000050000 0100000020002090   
0601AGA1N       20220101002150100000050000 0100000020002110   
0601AGA1N       20220101002200100000050000 0100000020002130   
0601AGA1N       20220101002250100000050000 0100000020002160   
0601AGA1N       20220101002300100000050000 0100000020002180   
0601AGA1N       20220101002350100000050000 0100000020002200   
0601AGA1N       20220101002400100000050000 0100000020002220   
0601AGA1N       20220101002450100000050000 0100000020002240   
0601AGA1N       20220101002500100000050000 0100000020002260   
0601AGA1N       20220101002550100000050000 0100000020002280   
0601AGA1N       20220101002600100000050000 0100000020002290   
0601AGA1N       20220101002650100000050000 0100000020002310   
0601AGA1N       20220101002700100000050000 0100000020002330   
0601AGA1N       20220101002750100000050000 0100000020002340   
0601AGA1N       20220101002800100000050000 0100000020002360   
0601AGA1N       20220101002850100000050000 0100000020002370   
0601AGA1N       20220101002900100000050000 0100000020002390   
0601AGA1N       20220101002950100000050000 0100000020002400   
0601AGA1N       20220101003000100000500000 0100000020002470   
0601AGA1N       20220101003500100000500000 0100000020002570   
0601AGA1N       20220101004000100000500000 0100000020002650   
0601AGA1N       20220101004500100000500000 0100000020002720   
0601AGA1N       20220101005000100000500000 0100000020002770   
0601AGA1N       20220101005500100000500000 0100000020002820   
0601AGA1N       20220101006000100000500000 0100000020002850   
0601AGA1N       20220101006500100000500000 0100000020002890   
0601AGA1N       20220101007000100000500000 0100000020002910   
0601AGA1N       20220101007500100000500000 0100000020002930   
0601AGA1N       20220101008000100000500000 0100000020002940   
0601AGA1N       20220101008500100000500000 0100000020002950   
0601AGA1N       20220101009000100000500000 0100000020002960   
0601AGA1N       20220101009500100000500000 0100000020002970   
0601AGA2N       20220101000000100000025000 0200000020000000   
0601AGA2N       20220101000025100000005000 0200000020000000   
0601AGA2N       20220101000030100000005000 0200000020000000   
0601AGA2N       20220101000035100000005000 0200000020000000   
0601AGA2N       20220101000040100000005000 0200000020000000   
0601AGA2N       20220101000045100000005000 0200000020000000   
0601AGA2N       20220101000050100000005000 0200000020000000   
0601AGA2N       20220101000055100000005000 0200000020000000   
0601AGA2N       20220101000060100000005000 0200000020000000   
0601AGA2N       20220101000065100000005000 0200000020000000   
0601AGA2N       20220101000070100000005000 0200000020000000   
0601AGA2N       20220101000075100000005000 0200000020000000   
0601AGA2N       20220101000080100000005000 0200000020000000   
0601AGA2N       20220101000085100000005000 0200000020000000   
0601AGA2N       20220101000090100000005000 0200000020000000   
0601AGA2N       20220101000095100000005000 0200000020000000   
0601AGA2N       20220101000100100000005000 0200000020000000   
0601AGA2N       20220101000105100000005000 0200000020000000   
0601AGA2N       20220101000110100000005000 0200000020000000   
0601AGA2N       20220101000115100000005000 0200000020000000   
0601AGA2N       20220101000120100000005000 0200000020000000   
0601AGA2N       20220101000125100000005000 0200000020000000   
0601AGA2N       20220101000130100000005000 0200000020000000   
0601AGA2N       20220101000135100000005000 0200000020000000   
0601AGA2N       20220101000140100000005000 0200000020000000   
0601AGA2N       20220101000145100000005000 0200000020000000   
0601AGA2N       20220101000150100000005000 0200000020000000   
0601AGA2N       20220101000155100000005000 0200000020000000   
0601AGA2N       20220101000160100000005000 0200000020000000   
0601AGA2N       20220101000165100000005000 0200000020000000   
0601AGA2N       20220101000170100000005000 0200000020000000   
0601AGA2N       20220101000175100000005000 0200000020000000   
0601AGA2N       20220101000180100000005000 0200000020000000   
0601AGA2N       20220101000185100000005000 0200000020000000   
0601AGA2N       20220101000190100000005000 0200000020000000   
