00GE               20211117                                                                                   
0601GEA0N       20220101001865005000005000 0000000000002540   
0601GEA0N       20220101001870005000005000 0000000000002543   
0601GEA0N       20220101001875005000005000 0000000000002546   
0601GEA0N       20220101001880005000005000 0000000000002550   
0601GEA0N       20220101001885005000005000 0000000000002553   
0601GEA0N       20220101001890005000005000 0000000000002556   
0601GEA0N       20220101001895005000005000 0000000000002560   
0601GEA0N       20220101001900005000005000 0000000000002563   
0601GEA0N       20220101001905005000005000 0000000000002566   
0601GEA0N       20220101001910005000005000 0000000000002569   
0601GEA0N       20220101001915005000005000 0000000000002573   
0601GEA0N       20220101001920005000005000 0000000000002576   
0601GEA0N       20220101001925005000005000 0000000000002579   
0601GEA0N       20220101001930005000005000 0000000000002582   
0601GEA0N       20220101001935005000005000 0000000000002585   
0601GEA0N       20220101001940005000005000 0000000000002588   
0601GEA0N       20220101001945005000005000 0000000000002592   
0601GEA0N       20220101001950005000005000 0000000000002594   
0601GEA0N       20220101001955005000005000 0000000000002597   
0601GEA0N       20220101001960005000005000 0000000000002601   
0601GEA0N       20220101001965005000010000 0000000000002605   
0601GEA0N       20220101001975005000010000 0000000000002611   
0601GEA0N       20220101001985005000010000 0000000000002617   
0601GEA0N       20220101001995005000010000 0000000000002623   
0601GEA0N       20220101002005005000010000 0000000000002629   
0601GEA0N       20220101002015005000010000 0000000000002635   
0601GEA0N       20220101002025005000010000 0000000000002640   
0601GEA0N       20220101002035005000010000 0000000000002646   
0601GEA0N       20220101002045005000010000 0000000000002652   
0601GEA0N       20220101002055005000010000 0000000000002657   
0601GEA0N       20220101002065005000010000 0000000000002663   
0601GEA0N       20220101002075005000010000 0000000000002668   
0601GEA0N       20220101002085005000010000 0000000000002674   
0601GEA0N       20220101002095005000010000 0000000000002679   
0601GEA0N       20220101002105005000010000 0000000000002685   
0601GEA0N       20220101002115005000010000 0000000000002690   
0601GEA0N       20220101002125005000010000 0000000000002695   
0601GEA0N       20220101002135005000010000 0000000000002700   
0601GEA0N       20220101002145005000010000 0000000000002705   
0601GEA0N       20220101002155005000010000 0000000000002710   
0601GEA0N       20220101002165005000010000 0000000000002715   
0601GEA0N       20220101002175005000010000 0000000000002720   
0601GEA0N       20220101002185005000010000 0000000000002725   
0601GEA0N       20220101002195005000010000 0000000000002730   
0601GEA0N       20220101002205005000010000 0000000000002735   
0601GEA0N       20220101002215005000010000 0000000000002740   
