00LU               20211201                                                                                   
0601LUA0N       20220101002305100000005000 0000000130002128   
0601LUA0N       20220101002310100000005000 0000000130002129   
0601LUA0N       20220101002315100000005000 0000000130002132   
0601LUA0N       20220101002320100000005000 0000000130002133   
0601LUA0N       20220101002325100000005000 0000000130002135   
0601LUA0N       20220101002330100000005000 0000000130002138   
0601LUA0N       20220101002335100000005000 0000000130002139   
0601LUA0N       20220101002340100000005000 0000000130002140   
0601LUA0N       20220101002345100000005000 0000000130002142   
0601LUA0N       20220101002350100000005000 0000000130002145   
0601LUA0N       20220101002355100000005000 0000000130002146   
0601LUA0N       20220101002360100000005000 0000000130002147   
0601LUA0N       20220101002365100000005000 0000000130002150   
0601LUA0N       20220101002370100000005000 0000000130002151   
0601LUA0N       20220101002375100000005000 0000000130002153   
0601LUA0N       20220101002380100000005000 0000000130002155   
0601LUA0N       20220101002385100000005000 0000000130002157   
0601LUA0N       20220101002390100000005000 0000000130002158   
0601LUA0N       20220101002395100000005000 0000000130002161   
0601LUA0N       20220101002400100000005000 0000000130002162   
0601LUA0N       20220101002405100000005000 0000000130002163   
0601LUA0N       20220101002410100000005000 0000000130002166   
0601LUA0N       20220101002415100000005000 0000000130002167   
0601LUA0N       20220101002420100000005000 0000000130002168   
0601LUA0N       20220101002425100000005000 0000000130002171   
0601LUA0N       20220101002430100000005000 0000000130002172   
0601LUA0N       20220101002435100000005000 0000000130002174   
0601LUA0N       20220101002440100000005000 0000000130002176   
0601LUA0N       20220101002445100000005000 0000000130002177   
0601LUA0N       20220101002450100000005000 0000000130002179   
0601LUA0N       20220101002455100000005000 0000000130002181   
0601LUA0N       20220101002460100000005000 0000000130002182   
0601LUA0N       20220101002465100000005000 0000000130002184   
0601LUA0N       20220101002470100000005000 0000000130002186   
0601LUA0N       20220101002475100000005000 0000000130002187   
0601LUA0N       20220101002480100000005000 0000000130002189   
0601LUA0N       20220101002485100000005000 0000000130002190   
0601LUA0N       20220101002490100000005000 0000000130002192   
0601LUA0N       20220101002495100000005000 0000000130002193   
0601LUA0N       20220101002500100000005000 0000000130002195   
0601LUA0N       20220101002505100000005000 0000000130002197   
0601LUA0N       20220101002510100000005000 0000000130002198   
0601LUA0N       20220101002515100000005000 0000000130002199   
0601LUA0N       20220101002520100000005000 0000000130002202   
0601LUA0N       20220101002525100000005000 0000000130002203   
0601LUA0N       20220101002530100000005000 0000000130002204   
