00SG               20211210                                                                                   
0601SGA0N       20220101001905100000005000 0000000050002111   
0601SGA0N       20220101001910100000005000 0000000050002113   
0601SGA0N       20220101001915100000005000 0000000050002117   
0601SGA0N       20220101001920100000005000 0000000050002118   
0601SGA0N       20220101001925100000005000 0000000050002120   
0601SGA0N       20220101001930100000005000 0000000050002124   
0601SGA0N       20220101001935100000005000 0000000050002126   
0601SGA0N       20220101001940100000005000 0000000050002127   
0601SGA0N       20220101001945100000005000 0000000050002131   
0601SGA0N       20220101001950100000005000 0000000050002133   
0601SGA0N       20220101001955100000005000 0000000050002135   
0601SGA0N       20220101001960100000005000 0000000050002138   
0601SGA0N       20220101001965100000005000 0000000050002140   
0601SGA0N       20220101001970100000005000 0000000050002141   
0601SGA0N       20220101001975100000005000 0000000050002145   
0601SGA0N       20220101001980100000005000 0000000050002146   
0601SGA0N       20220101001985100000005000 0000000050002148   
0601SGA0N       20220101001990100000005000 0000000050002151   
0601SGA0N       20220101001995100000005000 0000000050002153   
0601SGA0N       20220101002000100000005000 0000000050002155   
0601SGA0N       20220101002005100000005000 0000000050002158   
0601SGA0N       20220101002010100000005000 0000000050002160   
0601SGA0N       20220101002015100000005000 0000000050002162   
0601SGA0N       20220101002020100000005000 0000000050002165   
0601SGA0N       20220101002025100000005000 0000000050002166   
0601SGA0N       20220101002030100000005000 0000000050002168   
0601SGA0N       20220101002035100000005000 0000000050002171   
0601SGA0N       20220101002040100000005000 0000000050002173   
0601SGA0N       20220101002045100000005000 0000000050002175   
0601SGA0N       20220101002050100000005000 0000000050002176   
0601SGA0N       20220101002055100000005000 0000000050002179   
0601SGA0N       20220101002060100000005000 0000000050002181   
0601SGA0N       20220101002065100000005000 0000000050002182   
0601SGA0N       20220101002070100000005000 0000000050002186   
0601SGA0N       20220101002075100000005000 0000000050002187   
0601SGA0N       20220101002080100000005000 0000000050002189   
0601SGA0N       20220101002085100000005000 0000000050002192   
0601SGA0N       20220101002090100000005000 0000000050002193   
0601SGA0N       20220101002095100000005000 0000000050002195   
0601SGA0N       20220101002100100000005000 0000000050002198   
0601SGA0N       20220101002105100000005000 0000000050002199   
0601SGA0N       20220101002110100000005000 0000000050002201   
0601SGA0N       20220101002115100000005000 0000000050002204   
0601SGA0N       20220101002120100000005000 0000000050002205   
0601SGA0N       20220101002125100000005000 0000000050002207   
0601SGA0N       20220101002130100000005000 0000000050002210   
0601SGA0N       20220101002135100000005000 0000000050002211   
0601SGA0N       20220101002140100000005000 0000000050002213   
0601SGA0N       20220101002145100000005000 0000000050002216   
0601SGA0N       20220101002150100000005000 0000000050002217   
0601SGA0N       20220101002155100000005000 0000000050002218   
0601SGA0N       20220101002160100000005000 0000000050002221   
