00BL               20211111                                                                                   
0601BLA0N       20220101002270100000005000 0000000000002665   
0601BLA0N       20220101002275100000005000 0000000000002667   
0601BLA0N       20220101002280100000005000 0000000000002669   
0601BLA0N       20220101002285100000005000 0000000000002672   
0601BLA0N       20220101002290100000005000 0000000000002674   
0601BLA0N       20220101002295100000005000 0000000000002676   
0601BLA0N       20220101002300100000005000 0000000000002679   
0601BLA0N       20220101002305100000005000 0000000000002681   
0601BLA0N       20220101002310100000005000 0000000000002683   
0601BLA0N       20220101002315100000005000 0000000000002686   
0601BLA0N       20220101002320100000005000 0000000000002688   
0601BLA0N       20220101002325100000005000 0000000000002690   
0601BLA0N       20220101002330100000005000 0000000000002692   
0601BLA0N       20220101002335100000005000 0000000000002694   
0601BLA0N       20220101002340100000005000 0000000000002696   
0601BLA0N       20220101002345100000005000 0000000000002698   
0601BLA0N       20220101002350100000005000 0000000000002701   
0601BLA0N       20220101002355100000005000 0000000000002703   
0601BLA0N       20220101002360100000005000 0000000000002705   
0601BLA0N       20220101002365100000005000 0000000000002707   
0601BLA0N       20220101002370100000005000 0000000000002709   
0601BLA0N       20220101002375100000005000 0000000000002711   
0601BLA0N       20220101002380100000005000 0000000000002714   
0601BLA0N       20220101002385100000005000 0000000000002716   
0601BLA0N       20220101002390100000005000 0000000000002718   
0601BLA0N       20220101002395100000005000 0000000000002720   
0601BLA0N       20220101002400100000005000 0000000000002722   
0601BLA0N       20220101002405100000005000 0000000000002724   
0601BLA0N       20220101002410100000005000 0000000000002726   
0601BLA0N       20220101002415100000005000 0000000000002728   
0601BLA0N       20220101002420100000005000 0000000000002730   
0601BLA0N       20220101002425100000005000 0000000000002732   
0601BLA0N       20220101002430100000005000 0000000000002734   
0601BLA0N       20220101002435100000005000 0000000000002736   
0601BLA0N       20220101002440100000005000 0000000000002739   
0601BLA0N       20220101002445100000005000 0000000000002740   
0601BLA0N       20220101002450100000005000 0000000000002742   
0601BLA0N       20220101002455100000005000 0000000000002745   
0601BLA0N       20220101002460100000005000 0000000000002746   
0601BLA0N       20220101002465100000005000 0000000000002748   
0601BLA0N       20220101002470100000005000 0000000000002750   
0601BLA0N       20220101002475100000005000 0000000000002752   
0601BLA0N       20220101002480100000005000 0000000000002754   
0601BLA0N       20220101002485100000005000 0000000000002756   
0601BLA0N       20220101002490100000005000 0000000000002758   
0601BLA0N       20220101002495100000005000 0000000000002760   
0601BLA0N       20220101002500100000005000 0000000000002762   
0601BLA0N       20220101002505100000005000 0000000000002764   
0601BLA0N       20220101002510100000005000 0000000000002766   
0601BLA0N       20220101002515100000005000 0000000000002767   
0601BLA0N       20220101002520100000005000 0000000000002769   
0601BLA0N       20220101002525100000005000 0000000000002772   
0601BLA0N       20220101002530100000005000 0000000000002773   
0601BLA0N       20220101002535100000005000 0000000000002776   
0601BLA0N       20220101002540100000005000 0000000000002777   
0601BLA0N       20220101002545100000005000 0000000000002779   
0601BLA0N       20220101002550100000005000 0000000000002781   
0601BLA0N       20220101002555100000005000 0000000000002783   
0601BLA0N       20220101002560100000005000 0000000000002784   
0601BLA0N       20220101002565100000005000 0000000000002786   
0601BLA0N       20220101002570100000005000 0000000000002788   
0601BLA0N       20220101002575100000005000 0000000000002790   
0601BLA0N       20220101002580100000005000 0000000000002792   
0601BLA0N       20220101002585100000005000 0000000000002794   
0601BLA0N       20220101002590100000005000 0000000000002795   
0601BLA0N       20220101002595100000005000 0000000000002797   
0601BLA0N       20220101002600100000005000 0000000000002799   
0601BLA0N       20220101002605100000005000 0000000000002801   
0601BLA0N       20220101002610100000005000 0000000000002803   
0601BLA0N       20220101002615100000005000 0000000000002805   
0601BLA0N       20220101002620100000005000 0000000000002806   
0601BLA0N       20220101002625100000005000 0000000000002808   
0601BLA0N       20220101002630100000005000 0000000000002810   
0601BLA0N       20220101002635100000005000 0000000000002811   
0601BLA0N       20220101002640100000005000 0000000000002813   
0601BLA0N       20220101002645100000005000 0000000000002815   
0601BLA0N       20220101002650100000005000 0000000000002817   
0601BLA0N       20220101002655100000005000 0000000000002818   
0601BLA0N       20220101002660100000005000 0000000000002820   
0601BLA0N       20220101002665100000005000 0000000000002822   
0601BLA0N       20220101002670100000005000 0000000000002824   
0601BLA0N       20220101002675100000005000 0000000000002825   
0601BLA0N       20220101002680100000005000 0000000000002827   
0601BLA0N       20220101002685100000005000 0000000000002829   
0601BLA0N       20220101002690100000005000 0000000000002830   
0601BLA0N       20220101002695100000005000 0000000000002832   
0601BLA0N       20220101002700100000005000 0000000000002834   
0601BLA0N       20220101002705100000005000 0000000000002835   
0601BLA0N       20220101002710100000005000 0000000000002837   
0601BLA0N       20220101002715100000005000 0000000000002839   
