00VD               20220112                                                                                   
0601VDA0N       20220101001515100000005000 0000000000002284   
0601VDA0N       20220101001520100000005000 0000000000002288   
0601VDA0N       20220101001525100000005000 0000000000002293   
0601VDA0N       20220101001530100000005000 0000000000002296   
0601VDA0N       20220101001535100000005000 0000000000002300   
0601VDA0N       20220101001540100000005000 0000000000002306   
0601VDA0N       20220101001545100000005000 0000000000002309   
0601VDA0N       20220101001550100000005000 0000000000002312   
0601VDA0N       20220101001555100000005000 0000000000002318   
0601VDA0N       20220101001560100000005000 0000000000002322   
0601VDA0N       20220101001565100000005000 0000000000002326   
0601VDA0N       20220101001570100000005000 0000000000002331   
0601VDA0N       20220101001575100000005000 0000000000002335   
0601VDA0N       20220101001580100000005000 0000000000002339   
0601VDA0N       20220101001585100000005000 0000000000002344   
0601VDA0N       20220101001590100000005000 0000000000002347   
0601VDA0N       20220101001595100000005000 0000000000002351   
0601VDA0N       20220101001600100000005000 0000000000002356   
0601VDA0N       20220101001605100000005000 0000000000002361   
0601VDA0N       20220101001610100000005000 0000000000002364   
0601VDA0N       20220101001615100000005000 0000000000002368   
0601VDA0N       20220101001620100000005000 0000000000002373   
0601VDA0N       20220101001625100000005000 0000000000002377   
0601VDA0N       20220101001630100000005000 0000000000002381   
0601VDA0N       20220101001635100000005000 0000000000002385   
0601VDA0N       20220101001640100000005000 0000000000002389   
0601VDA0N       20220101001645100000005000 0000000000002392   
0601VDA0N       20220101001650100000005000 0000000000002397   
0601VDA0N       20220101001655100000005000 0000000000002401   
0601VDA0N       20220101001660100000005000 0000000000002404   
0601VDA0N       20220101001665100000005000 0000000000002410   
0601VDA0N       20220101001670100000005000 0000000000002412   
0601VDA0N       20220101001675100000005000 0000000000002416   
0601VDA0N       20220101001680100000005000 0000000000002421   
0601VDA0N       20220101001685100000005000 0000000000002424   
0601VDA0N       20220101001690100000005000 0000000000002427   
0601VDA0N       20220101001695100000005000 0000000000002433   
0601VDA0N       20220101001700100000005000 0000000000002435   
0601VDA0N       20220101001705100000005000 0000000000002439   
0601VDA0N       20220101001710100000005000 0000000000002443   
0601VDA0N       20220101001715100000005000 0000000000002447   
0601VDA0N       20220101001720100000005000 0000000000002450   
0601VDA0N       20220101001725100000005000 0000000000002455   
0601VDA0N       20220101001730100000005000 0000000000002458   
0601VDA0N       20220101001735100000005000 0000000000002460   
0601VDA0N       20220101001740100000005000 0000000000002466   
0601VDA0N       20220101001745100000005000 0000000000002468   
0601VDA0N       20220101001750100000005000 0000000000002472   
0601VDA0N       20220101001755100000005000 0000000000002474   
0601VDA0N       20220101001760100000005000 0000000000002479   
0601VDA0N       20220101001765100000005000 0000000000002482   
0601VDA0N       20220101001770100000005000 0000000000002486   
0601VDA0N       20220101001775100000005000 0000000000002491   
0601VDA0N       20220101001780100000005000 0000000000002494   
0601VDA0N       20220101001785100000005000 0000000000002497   
0601VDA0N       20220101001790100000005000 0000000000002502   
0601VDA0N       20220101001795100000005000 0000000000002506   
0601VDA0N       20220101001800100000005000 0000000000002509   
0601VDA0N       20220101001805100000005000 0000000000002514   
0601VDA0N       20220101001810100000005000 0000000000002518   
0601VDA0N       20220101001815100000005000 0000000000002520   
0601VDA0N       20220101001820100000005000 0000000000002526   
0601VDA0N       20220101001825100000005000 0000000000002529   
0601VDA0N       20220101001830100000005000 0000000000002532   
0601VDA0N       20220101001835100000005000 0000000000002537   
0601VDA0N       20220101001840100000005000 0000000000002541   
0601VDA0N       20220101001845100000005000 0000000000002544   
0601VDA0N       20220101001850100000005000 0000000000002549   
0601VDA0N       20220101001855100000005000 0000000000002553   
0601VDA0N       20220101001860100000005000 0000000000002555   
0601VDA0N       20220101001865100000005000 0000000000002560   
0601VDA0N       20220101001870100000005000 0000000000002564   
0601VDA0N       20220101001875100000005000 0000000000002568   
0601VDA0N       20220101001880100000005000 0000000000002573   
0601VDA0N       20220101001885100000005000 0000000000002576   
0601VDA0N       20220101001890100000005000 0000000000002579   
0601VDA0N       20220101001895100000005000 0000000000002582   
